,timestep,Clipper-Europa distance,velocity,acceleration
42,796319913.4607,670893827,20.64608981674506,-1.812268756410646e-06
43,796838313.4607,676491694,20.224868949911556,-1.7491948525004712e-06
44,797356713.4607,683930352,19.822746088732664,-1.6912134159629046e-06
45,797875113.4607,690463227,19.438831018421336,-1.6378329953849781e-06
46,798393513.4607,695813157,19.0723090372217,-1.5886227865117733e-06
47,798911913.4607,702895635,18.722435859982358,-1.5432032281066747e-06
48,799430313.4607,709774563,18.38853270259563,-1.501238847702898e-06
49,799948713.4607,714966554,18.06998160203334,-1.4624330964783491e-06
50,800467113.4607,721478798,17.766220737001355,-1.426515366786123e-06
51,800985513.4607,728535748,17.476740377594723,-1.3932688254412268e-06
52,801503913.4607,733693763,17.20107891424085,-1.3624705123448117e-06
53,802022313.4607,739536675,16.93881717362292,-1.333939193223737e-06
54,802540713.4607,746575366,16.689575474655978,-1.3075036022449076e-06
55,803059113.4607,751816901,16.453012754994294,-1.2830112147754657e-06
56,803577513.4607,756999131,16.228824125096125,-1.2603296477613641e-06
57,804095913.4607,763807859,16.016736488091873,-1.239340554291307e-06
58,804614313.4607,769216145,15.816505288664217,-1.2199367456976218e-06
59,805132713.4607,773831085,15.627912194757764,-1.2020214608012712e-06
60,805651113.4607,780210054,15.45076300454297,-1.185507627647684e-06
61,806169513.4607,785814177,15.284885668142431,-1.1703146033103361e-06
62,806687913.4607,790011763,15.13007297046861,-1.1566064454418038e-06
63,807206313.4607,795803837,14.986297529368855,-1.143631375832024e-06
64,807724713.4607,801568168,14.853392534113226,-1.132016958724756e-06
65,808243113.4607,805524024,14.731256112322445,-1.1214862236358307e-06
66,808761513.4607,810639213,14.61980078732714,-1.1119955104555868e-06
67,809279913.4607,816462373,14.518951259295632,-1.1035076240254066e-06
68,809798313.4607,820352222,14.428641839361088,-1.0959879604675492e-06
69,810316713.4607,824777027,14.34881514694862,-1.0894013144917204e-06
70,810835113.4607,830507222,14.279423570229302,-1.083718741784386e-06
71,811353513.4607,834483089,14.220429019019837,-1.0789191125216959e-06
72,811871913.4607,838274670,14.171800884770791,-1.074985007394321e-06
73,812390313.4607,843738941,14.133514759936212,-1.071901650963543e-06
74,812908713.4607,847903851,14.105551859499833,-1.069657202623019e-06
75,813427113.4607,851178215,14.087898663660406,-1.0682429372865748e-06
76,813945513.4607,856214997,14.080546655869085,-1.0676532681158367e-06
77,814463913.4607,860605117,14.083492158785152,1.067885718980953e-06
78,814982313.4607,863520369,14.096736292224115,1.0689409074542723e-06
79,815500713.4607,868007193,14.120285087922968,1.0708226139271017e-06
80,816019113.4607,872583487,14.154149811116152,1.073538147648719e-06
81,816537513.4607,875320248,14.198347450483748,1.0770993321393752e-06
82,817055913.4607,879188913,14.252900799289318,1.0815228143493502e-06
83,817574313.4607,883846565,14.317837385319196,1.0868256484044491e-06
84,818092713.4607,886584085,14.393189736858607,1.0930239058362851e-06
85,818611113.4607,889826282,14.478998555325694,1.1001403933375042e-06
86,819129513.4607,894418814,14.575314368975292,1.1082050490142994e-06
87,819647913.4607,897304366,14.682197619983922,1.1172519688074214e-06
88,820166313.4607,899972769,14.799719236058458,1.127319161357123e-06
89,820684713.4607,904338352,14.92796174368635,1.1384492131901747e-06
90,821203113.4607,907461885,15.067020606848828,1.150689899666528e-06
91,821721513.4607,909664776,15.217005682366919,1.1640947241861458e-06
92,822239913.4607,913651650,15.37804277975911,1.1787234653029146e-06
93,822758313.4607,917030884,15.55027534620446,1.1946427845959668e-06
94,823276713.4607,918919492,15.733866326983346,1.211926991218724e-06
95,823795113.4607,922403395,15.929000301457801,1.2306592776335484e-06
96,824313513.4607,925984271,16.13588591850704,1.2509338664134518e-06
